total_slabs,miss_ratio_disabled,miss_ratio_optimal,slab_distribution_disabled,slab_distribution_optimal,distance_to_optimal
422,0.31613435,0.31610115,"[63, 359]","[65, 357]",359
267,0.43055745,0.42712685,"[40, 227]","[60, 207]",227
320,0.38966865,0.38829205,"[48, 272]","[61, 259]",272
390,0.33856095,0.33832655000000006,"[58, 332]","[65, 325]",332
145,0.53422475,0.5203254,"[23, 122]","[57, 88]",122
431,0.3099166,0.3099045,"[65, 366]","[66, 365]",366
229,0.4609648,0.4556166,"[35, 194]","[60, 169]",194
113,0.56593775,0.54565525,"[18, 95]","[56, 57]",95
41,0.65010855,0.60583485,"[8, 33]","[41, 0]",33
355,0.36378015,0.36310505000000004,"[53, 302]","[64, 291]",302
485,0.27349625,0.27328775,"[74, 411]","[67, 418]",418
14,0.7090744,0.65300985,"[3, 11]","[14, 0]",11
507,0.25919105,0.2587276,"[78, 429]","[68, 439]",439
207,0.47922305,0.47227315,"[32, 175]","[59, 148]",175
117,0.5612194,0.5424639,"[19, 98]","[56, 61]",98
280,0.4203287,0.41753425,"[42, 238]","[61, 219]",238
70,0.6126944,0.5803561,"[12, 58]","[56, 14]",58
279,0.4210712,0.4182721,"[42, 237]","[60, 219]",237
157,0.5228147,0.5109411,"[25, 132]","[57, 100]",132
466,0.28608,0.2860359,"[70, 396]","[67, 399]",399
439,0.3044144,0.3044083,"[66, 373]","[65, 374]",374
324,0.38677155,0.38538905,"[48, 276]","[61, 263]",276
31,0.66873975,0.61829175,"[6, 25]","[31, 0]",25
131,0.54748825,0.53134645,"[21, 110]","[57, 74]",110
462,0.28881695,0.28873165,"[70, 392]","[66, 396]",396
242,0.4502808,0.445787,"[37, 205]","[60, 182]",205
455,0.29351915,0.2934917,"[69, 386]","[66, 389]",389
67,0.6150923,0.5828186,"[12, 55]","[54, 13]",55
256,0.43906045,0.43530125,"[39, 217]","[60, 196]",217
377,0.34784055,0.3475013,"[56, 321]","[64, 313]",321
119,0.55966585,0.5408653,"[19, 100]","[56, 63]",100
44,0.6476831,0.6026667,"[8, 36]","[44, 0]",36
148,0.5318933,0.51798395,"[23, 125]","[58, 90]",125
331,0.3815426,0.38033905,"[49, 282]","[61, 270]",282
219,0.46956175,0.4631463,"[33, 186]","[60, 159]",186
198,0.48735755,0.4791596,"[30, 168]","[58, 140]",168
493,0.268233,0.26797825,"[75, 418]","[69, 424]",424
259,0.43686565,0.43305635,"[39, 220]","[60, 199]",220
151,0.52848735,0.51564445,"[24, 127]","[57, 94]",127
64,0.62043275,0.5852624,"[11, 53]","[56, 8]",53
4,0.76047945,0.7061426,"[1, 3]","[4, 0]",3
247,0.44657555,0.4420421,"[37, 210]","[60, 187]",210
170,0.51099105,0.50078715,"[27, 143]","[58, 112]",143
408,0.32586795,0.32578615,"[61, 347]","[66, 342]",347
203,0.48290325,0.4753384,"[31, 172]","[60, 143]",172
465,0.28675975,0.2867028,"[70, 395]","[67, 398]",398
179,0.50327245,0.4938379,"[28, 151]","[58, 121]",151
302,0.40341625,0.4013938,"[45, 257]","[62, 240]",257
264,0.4327764,0.4293476,"[40, 224]","[60, 204]",224
24,0.6812758,0.6295593,"[5, 19]","[24, 0]",19
399,0.332152,0.3320281,"[60, 339]","[65, 334]",339
132,0.5467042,0.5305718,"[21, 111]","[57, 75]",111
487,0.2721705,0.27196305,"[74, 413]","[67, 420]",420
91,0.58875735,0.56328635,"[15, 76]","[56, 35]",76
172,0.5094677,0.49924115,"[27, 145]","[57, 115]",145
147,0.5326726,0.518756,"[23, 124]","[57, 90]",124
252,0.4424327,0.4382981,"[38, 214]","[60, 192]",214
419,0.3182166,0.31816035,"[63, 356]","[66, 353]",356
52,0.63703335,0.5951762,"[9, 43]","[52, 0]",43
404,0.328691,0.32855475,"[60, 344]","[65, 339]",344
30,0.66955555,0.61973395,"[6, 24]","[30, 0]",24
165,0.51568725,0.5046905,"[26, 139]","[57, 108]",139
20,0.69304185,0.6375449,"[4, 16]","[20, 0]",16
186,0.4971412,0.4884129,"[29, 157]","[57, 129]",157
398,0.33291205,0.33273095,"[59, 339]","[64, 334]",339
454,0.29418035,0.29417485,"[68, 386]","[67, 387]",387
81,0.59886885,0.57139985,"[14, 67]","[56, 25]",67
