rebalance_strategy,slab_count,request_id,distance_to_optimal_allocation
marginal-hits,64,42600000,1
marginal-hits,64,42650000,1
marginal-hits,64,42700000,2
marginal-hits,64,42750000,3
marginal-hits,64,42800000,3
marginal-hits,64,42850000,3
marginal-hits,64,42900000,4
marginal-hits,64,42950000,4
marginal-hits,64,43000000,5
marginal-hits,64,43050000,4
marginal-hits,64,43100000,3
marginal-hits,64,43150000,3
marginal-hits,64,43200000,4
marginal-hits,64,43250000,5
marginal-hits,64,43300000,5
marginal-hits,64,43350000,5
marginal-hits,64,43400000,4
marginal-hits,64,43450000,3
marginal-hits,64,43500000,2
marginal-hits,64,43550000,3
marginal-hits,64,43600000,3
marginal-hits,64,43650000,2
marginal-hits,64,43700000,1
marginal-hits,64,43750000,2
marginal-hits,64,43800000,2
marginal-hits,64,43850000,3
marginal-hits,64,43900000,4
marginal-hits,64,43950000,5
marginal-hits,64,44000000,4
marginal-hits,64,44050000,4
marginal-hits,64,44100000,4
marginal-hits,64,44150000,5
marginal-hits,64,44200000,4
marginal-hits,64,44250000,5
marginal-hits,64,44300000,5
marginal-hits,64,44350000,5
marginal-hits,64,44400000,4
marginal-hits,64,44450000,3
marginal-hits,64,44500000,3
marginal-hits,64,44550000,2
marginal-hits,64,44600000,3
marginal-hits,64,44650000,2
marginal-hits,64,44700000,3
marginal-hits,64,44750000,4
marginal-hits,64,44800000,5
marginal-hits,64,44850000,4
marginal-hits,64,44900000,4
marginal-hits,64,44950000,4
marginal-hits,64,45000000,4
marginal-hits,64,45050000,4
marginal-hits,64,45100000,5
marginal-hits,64,45150000,6
marginal-hits,64,45200000,7
marginal-hits,64,45250000,8
marginal-hits,64,45300000,7
marginal-hits,64,45350000,6
marginal-hits,64,45400000,5
marginal-hits,64,45450000,5
marginal-hits,64,45500000,5
marginal-hits,64,45550000,6
marginal-hits,64,45600000,7
marginal-hits,64,45650000,7
marginal-hits,64,45700000,7
marginal-hits,64,45750000,8
marginal-hits,64,45800000,8
marginal-hits,64,45850000,7
