rebalance_strategy,slab_cnt,rebalance_interval,miss_ratio,rebalanced_slabs
free-mem,256,450000,0.2734423125,0
free-mem,256,420000,0.2734423125,0
hits,128,200000,0.4889042,43
marginal-hits,128,440000,0.419343775,178
free-mem,256,880000,0.2734423125,0
marginal-hits,128,540000,0.4198488625,146
free-mem,128,500000,0.4520975,0
marginal-hits,128,290000,0.4186068625,271
tail-age,256,560000,0.2734423125,0
free-mem,128,530000,0.4520975,0
hits,128,550000,0.483947775,43
marginal-hits,256,460000,0.2011350375,166
marginal-hits,128,920000,0.4221988375,85
tail-age,256,850000,0.2734423125,0
tail-age,128,50000,0.4520975,0
free-mem,256,100000,0.2734423125,0
tail-age,256,570000,0.2734423125,0
hits,256,250000,0.343835175,64
hits,128,410000,0.485843125,43
hits,128,860000,0.4792836875,43
hits,128,730000,0.4812380625,43
marginal-hits,128,80000,0.4199586125,987
hits,256,170000,0.3451432625,64
free-mem,256,240000,0.2734423125,0
hits,256,640000,0.3291832125,64
marginal-hits,256,250000,0.19310755,307
free-mem,128,1000000,0.4520975,0
tail-age,256,440000,0.2734423125,0
marginal-hits,128,870000,0.4222656375,89
marginal-hits,128,160000,0.418268775,493
free-mem,256,690000,0.2734423125,0
marginal-hits,256,950000,0.220331925,81
marginal-hits,256,880000,0.218295525,86
hits,128,50000,0.4921373125,47
free-mem,256,170000,0.2734423125,0
marginal-hits,256,470000,0.2010668125,164
hits,128,710000,0.4815418375,43
free-mem,256,750000,0.2734423125,0
free-mem,128,930000,0.4520975,0
tail-age,256,150000,0.2734423125,0
free-mem,256,90000,0.2734423125,0
free-mem,128,540000,0.4520975,0
free-mem,256,720000,0.2734423125,0
hits,256,1000000,0.3156865375,64
hits,256,90000,0.35095065,67
hits,128,240000,0.488365475,43
tail-age,256,950000,0.2734423125,0
free-mem,256,600000,0.2734423125,0
tail-age,128,480000,0.4520975,0
hits,256,780000,0.324546175,65
free-mem,128,730000,0.4520975,0
marginal-hits,128,210000,0.4181423375,375
marginal-hits,256,500000,0.2024426625,153
tail-age,256,610000,0.2734423125,0
free-mem,128,650000,0.4520975,0
marginal-hits,128,650000,0.4206586875,121
tail-age,128,710000,0.4520975,0
marginal-hits,128,760000,0.4214391375,103
hits,128,480000,0.4849954875,43
hits,256,110000,0.3488356375,66
tail-age,128,530000,0.4520975,0
hits,256,150000,0.34628155,65
marginal-hits,128,670000,0.4207634125,117
marginal-hits,256,670000,0.2096445,114
free-mem,256,840000,0.2734423125,0
marginal-hits,128,590000,0.42018865,133
hits,128,720000,0.481390525,43
marginal-hits,256,490000,0.2019367,157
hits,256,560000,0.3320574,64
hits,128,870000,0.4791317625,43
marginal-hits,128,550000,0.419897525,143
disabled,128,5000,0.4520975,0
free-mem,128,600000,0.4520975,0
hits,128,570000,0.4836485375,43
marginal-hits,256,680000,0.2101120375,112
marginal-hits,128,10000,0.440547325,7889
hits,256,180000,0.344879275,64
tail-age,256,800000,0.2734423125,0
free-mem,256,380000,0.2734423125,0
marginal-hits,256,20000,0.2005116375,3824
free-mem,128,150000,0.4520975,0
hits,128,140000,0.4897996625,43
marginal-hits,256,350000,0.1968517875,219
free-mem,256,900000,0.2734423125,0
marginal-hits,256,720000,0.211014025,107
marginal-hits,256,100000,0.1901775625,770
hits,128,660000,0.4822936,43
marginal-hits,256,660000,0.2091699,116
free-mem,128,700000,0.4520975,0
marginal-hits,128,630000,0.4204673375,124
marginal-hits,256,320000,0.195433475,240
tail-age,256,760000,0.2734423125,0
marginal-hits,256,530000,0.203848675,144
hits,256,910000,0.3188313625,65
tail-age,256,220000,0.2734423125,0
